id,county_name,name_ascii,type,county_fips,state_id,state_name,lat,lon,population
1,Washington,Washington,County,12133,FL,Florida,30.6106,-85.6653,24906
2,Walton,Walton,County,12131,FL,Florida,30.6436,-86.1697,73456
3,Wakulla,Wakulla,County,12129,FL,Florida,30.1673,-84.4007,33144
4,Volusia,Volusia,County,12127,FL,Florida,29.0584,-81.1819,548783
5,Union,Union,County,12125,FL,Florida,30.0439,-82.3714,16141
6,Taylor,Taylor,County,12123,FL,Florida,30.047,-83.6035,21762
7,Suwannee,Suwannee,County,12121,FL,Florida,30.1956,-82.9915,43514
8,Sumter,Sumter,County,12119,FL,Florida,28.7048,-82.081,127335
9,St. Lucie,St. Lucie,County,12111,FL,Florida,27.3773,-80.472,324599
10,St. Johns,St. Johns,County,12109,FL,Florida,29.9016,-81.4407,265724
11,Seminole,Seminole,County,12117,FL,Florida,28.717,-81.2363,467382
12,Sarasota,Sarasota,County,12115,FL,Florida,27.1845,-82.3315,429336
13,Santa Rosa,Santa Rosa,County,12113,FL,Florida,30.7004,-87.0219,184345
14,Putnam,Putnam,County,12107,FL,Florida,29.6087,-81.7443,73147
15,Polk,Polk,County,12105,FL,Florida,27.9489,-81.6976,713148
16,Pinellas,Pinellas,County,12103,FL,Florida,27.92,-82.7256,957989
17,Pasco,Pasco,County,12101,FL,Florida,28.3091,-82.3932,551598
18,Palm Beach,Palm Beach,County,12099,FL,Florida,26.6476,-80.4655,1481233
19,Osceola,Osceola,County,12097,FL,Florida,28.0627,-81.1494,380331
20,Orange,Orange,County,12095,FL,Florida,28.5145,-81.3236,1409949
21,Okeechobee,Okeechobee,County,12093,FL,Florida,27.3864,-80.8886,39716
22,Okaloosa,Okaloosa,County,12091,FL,Florida,30.6913,-86.5917,209230
23,Nassau,Nassau,County,12089,FL,Florida,30.6107,-81.8017,88492
24,Monroe,Monroe,County,12087,FL,Florida,25.3187,-81.1087,82244
25,Miami-Dade,Miami-Dade,County,12086,FL,Florida,25.615,-80.5623,2690113
26,Martin,Martin,County,12085,FL,Florida,27.0775,-80.4315,158323
27,Marion,Marion,County,12083,FL,Florida,29.2102,-82.0567,370372
28,Manatee,Manatee,County,12081,FL,Florida,27.4719,-82.3153,394824
29,Madison,Madison,County,12079,FL,Florida,30.4441,-83.4701,18051
30,Liberty,Liberty,County,12077,FL,Florida,30.2414,-84.8829,7987
31,Levy,Levy,County,12075,FL,Florida,29.3184,-82.7436,42392
32,Leon,Leon,County,12073,FL,Florida,30.458,-84.2779,290965
33,Lee,Lee,County,12071,FL,Florida,26.5779,-81.8337,752251
34,Lake,Lake,County,12069,FL,Florida,28.7615,-81.7113,375059
35,Lafayette,Lafayette,County,12067,FL,Florida,29.9855,-83.1811,8343
36,Jefferson,Jefferson,County,12065,FL,Florida,30.4375,-83.8953,14405
37,Jackson,Jackson,County,12063,FL,Florida,30.7954,-85.2155,48067
38,Indian River,Indian River,County,12061,FL,Florida,27.6943,-80.6062,158002
39,Holmes,Holmes,County,12059,FL,Florida,30.8679,-85.814,19622
40,Hillsborough,Hillsborough,County,12057,FL,Florida,27.9291,-82.3091,1444359
41,Highlands,Highlands,County,12055,FL,Florida,27.3433,-81.341,101174
42,Hernando,Hernando,County,12053,FL,Florida,28.5535,-82.4245,192128
43,Hendry,Hendry,County,12051,FL,Florida,26.5535,-81.1659,39439
44,Hardee,Hardee,County,12049,FL,Florida,27.4927,-81.81,25632
45,Hamilton,Hamilton,County,12047,FL,Florida,30.4964,-82.9479,13973
46,Gulf,Gulf,County,12045,FL,Florida,29.9556,-85.2266,15205
47,Glades,Glades,County,12043,FL,Florida,26.9564,-81.189,12183
48,Gilchrist,Gilchrist,County,12041,FL,Florida,29.7258,-82.8004,17759
49,Gadsden,Gadsden,County,12039,FL,Florida,30.5795,-84.6136,44233
50,Franklin,Franklin,County,12037,FL,Florida,29.8765,-84.814,12232
51,Flagler,Flagler,County,12035,FL,Florida,29.4614,-81.3136,113888
52,Escambia,Escambia,County,12033,FL,Florida,30.669,-87.363,318828
53,Duval,Duval,County,12031,FL,Florida,30.3316,-81.6708,983153
54,Dixie,Dixie,County,12029,FL,Florida,29.6082,-83.1588,16701
55,DeSoto,DeSoto,County,12027,FL,Florida,27.1863,-81.8094,34027
56,Columbia,Columbia,County,12023,FL,Florida,30.2242,-82.6215,69265
57,Collier,Collier,County,12021,FL,Florida,26.1108,-81.3475,372797
58,Clay,Clay,County,12019,FL,Florida,29.9831,-81.8579,216308
59,Citrus,Citrus,County,12017,FL,Florida,28.8489,-82.4794,151888
60,Charlotte,Charlotte,County,12015,FL,Florida,26.9055,-81.9123,184837
61,Calhoun,Calhoun,County,12013,FL,Florida,30.4061,-85.1971,13863
62,Broward,Broward,County,12011,FL,Florida,26.1523,-80.4871,1934551
63,Brevard,Brevard,County,12009,FL,Florida,28.2937,-80.7323,601573
64,Bradford,Bradford,County,12007,FL,Florida,29.95,-82.1687,27928
65,Bay,Bay,County,12005,FL,Florida,30.2652,-85.6203,181384
66,Baker,Baker,County,12003,FL,Florida,30.3311,-82.2846,28003
67,Alachua,Alachua,County,12001,FL,Florida,29.6747,-82.3577,276171